source_path	candidate_path	disposition	risk_or_reason
.gitignore	.gitignore	rewrite	Public repository needs broader secret, state, media, archive, and generated-file exclusions.
CLAUDE.md		exclude	Private agent instructions are not part of the product.
README.md	README.md	rewrite	Legacy README links private history and overstates the completed self-service path.
config/env.example	config/env.example	sanitize	Keep active hardware and dashboard settings; remove operator-only feature and tuning variables from the public surface.
config/onboarding/comitup-dbus.conf	config/onboarding/comitup-dbus.conf	keep	Required least-privilege onboarding policy; imported from pinned source.
config/onboarding/comitup.conf.template	config/onboarding/comitup.conf.template	keep	Required protected hotspot template; contains placeholders only.
config/onboarding/firewall.nft	config/onboarding/firewall.nft	keep	Required onboarding network isolation rules.
config/requirements-nfc.txt	config/requirements-nfc.txt	keep	Pinned NFC runtime dependencies; final license inventory still required.
docs/PLAN_CLEAN_INSTALL.md		exclude	Internal implementation plan, superseded by public documentation.
docs/PLAN_COMITUP_WIFI_ONBOARDING.md		exclude	Internal implementation plan, superseded by public documentation.
docs/assembly-guide.html		exclude	Personalized, outdated Pi Zero assembly material.
docs/assembly-guide.pdf		exclude	Generated binary of personalized, outdated Pi Zero assembly material.
docs/live-baseline-2026-08-09.md		exclude	Production-device evidence and operational detail do not belong in the public source tree.
docs/logbook.md		exclude	Contains family identifiers, routing details, and private operational history.
docs/plans/2026-07-06-001-feat-message-box-plan.md		exclude	Family-specific product history; replace with generic public documentation.
docs/whatsapp-onboarding-physical-gates.md	docs/testing.md	rewrite	Preserve generic acceptance concepts without device or operator-specific history.
hardware/enclosure.scad		exclude	Obsolete Pi Zero draft with placeholder dimensions.
hardware/kit/BOM.md		hold	Pi 4 BOM requires price-independent rewrite, wiring detail, and physical validation.
hardware/kit/README.md	hardware/README.md	rewrite	Replace prototype/business framing with publication requirements.
hardware/preview.png		exclude	Preview belongs to the obsolete enclosure design.
scripts/configure-wifi.sh	scripts/configure-wifi.sh	keep	Required protected Wi-Fi setup.
scripts/dev/ethernet.sh		exclude	Host-network development helper is not required for the supported public path.
scripts/install/comitup.sh	scripts/install/comitup.sh	keep	Required pinned Wi-Fi dependency installation; license audit pending.
scripts/install/nfc.sh	scripts/install/nfc.sh	keep	Required NFC installation.
scripts/install/wacli.sh	scripts/install/wacli.sh	keep	Required checksum-pinned client acquisition; third-party notice required.
